feature,importance
Time,3012
V14,1706
V4,1466
V26,1393
Amount,1367
V15,1259
V3,1250
V24,1223
V13,1189
V11,1183
V17,1122
V16,1120
V10,1106
V12,1084
V1,1081
V22,1062
V7,1052
V25,1015
V19,998
V18,995
V6,989
V28,968
V8,895
V21,870
V27,837
V9,834
V2,812
V23,808
V20,773
V5,621
